episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
39,1155,16692.38427988481,28,14,0,100,4181.999999999994,2.8904428904428903,91.7682317682318,0,0.17982017982017978,1.7582417582417584,3.4032634032634035,0
40,1063,14529.784796270837,28,18,0,100,3670.0000000000086,3.382365517831181,89.8101428204909,0,0.30360044471051056,2.6682630633712474,3.835628153596169,0
41,1140,16366.425145730786,28,17,0,100,3563.9999999999964,2.223493516399695,92.16628527841344,0,0.08771929824561406,1.6781083142639206,3.844393592677345,0
42,1235,18562.694270082917,28,22,0,100,2523.9999999999977,2.2717049032838506,93.18488529014844,0,0.20242914979757073,1.7543859649122808,2.5865946918578495,0
43,1135,16093.836462198666,28,17,0,100,4185.999999999998,4.343995403179468,90.51522696801379,0,0.08810572687224669,1.8042520589925304,3.2484198429419653,0
44,1137,15776.36073507723,28,24,0,100,2247.999999999996,3.2047053649956023,92.26033421284082,0,0.30233069481090585,1.5611257695690415,2.6715039577836417,0
45,1036,11667.7071858154,28,22,2,94,2791.9999999999923,3.324753324753325,90.61025311025311,0,0.28957528957528966,1.9036894036894036,3.8717288717288714,0
46,1081,14948.588901085459,28,12,0,100,3149.999999999991,2.5472446147746797,92.41443108233116,0,0.0925069380203515,2.382053654024051,2.563763710849742,0
47,1106,15287.471032739191,28,19,0,100,2559.9999999999986,2.9105313011280463,92.49978472401618,0,0.09041591320072329,1.989150090415913,2.510117971239129,0
48,1019,13464.177585187248,28,21,1,97,2433.9999999999986,3.67233097463974,91.61200351221528,0,0.2479210784566913,2.1021641444140284,2.3655802902742624,0
49,1295,17873.639684199334,28,19,1,97,2689.9999999999973,2.77992277992278,93.70472513329656,0,0.09560580989152417,1.3495127780842064,2.070233498804927,0
50,1073,14739.729531623838,28,16,0,100,3521.999999999996,3.456042249145697,91.21621621621621,0,0.1359117738428083,1.9454799627213422,3.2463497980739358,0
51,1250,14678.275270385817,28,23,2,94,2406.000000000002,2.456470588235294,93.75529411764705,0,0.1411764705882353,1.6800000000000004,1.9670588235294117,0
52,1064,14874.283728517215,28,16,0,100,3473.9999999999977,3.3325501253132823,91.53352130325815,0,0.09398496240601498,1.6643170426065161,3.3756265664160394,0
53,1032,13681.775878225912,28,15,0,100,4337.999999999998,4.406976744186046,89.1279069767442,0,0.09689922480620161,2.4651162790697683,3.9031007751937983,0
54,1127,15860.636739016343,28,22,0,100,2849.999999999996,3.2879818594104306,90.76210194222617,0,0.22675736961451246,2.213349107759046,3.5098097209898453,0
55,1072,12711.942025525137,28,21,1,97,2153.9999999999973,3.014532600157109,93.11174391201884,0,0.0932835820895522,1.6005498821681066,2.1798900235663785,0
56,1081,14991.620797138512,28,15,0,100,3357.9999999999955,3.3450508788159112,91.68177613321001,0,0.09250693802035152,2.1054579093432007,2.7752081406105455,0
57,1100,13148.721633246483,28,19,1,97,3103.9999999999905,2.528138528138528,91.83982683982684,0,0.25541125541125537,2.0779220779220777,3.2987012987012982,0
58,1060,12138.429919498005,28,18,1,97,3405.999999999993,3.3361921097770155,90.18439108061749,0,0.09433962264150945,2.51286449399657,3.87221269296741,0
59,1072,14880.003770931677,28,17,0,100,3095.9999999999955,2.538935756002595,91.66125892277744,0,0.31229720960415314,2.0603504218040234,3.4271576898118097,0
60,1203,17474.81194795022,28,19,0,100,3059.999999999993,3.0202272097533944,92.36432727704548,0,0.0831255195344971,1.5793848711554443,2.9529351225111826,0
61,1035,14074.134017300885,28,19,0,100,3031.999999999998,2.622498274672188,91.49298366689669,0,0.11962272831838051,2.070393374741201,3.6945019553715204,0
62,936,11412.449412621638,28,15,0,100,3961.9999999999945,3.3547008547008543,89.22222222222221,0,0.10683760683760682,2.311965811965812,5.004273504273503,0
63,1274,17674.922912352624,28,20,1,97,2128.0000000000055,1.4481946624803768,95.20800627943483,0,0.12951334379905807,1.2794348508634226,1.934850863422292,0
64,1076,12849.739087863258,28,16,1,97,3858.0,3.9459417596034694,92.22041511771995,0,0.201363073110285,1.4831164807930608,2.149163568773234,0
65,1018,11465.893838132844,28,18,1,97,3315.9999999999914,3.1300232184318624,90.06519021253793,0,0.12502232541525277,2.531702089658867,4.148062153956063,0
66,999,12784.51419035611,28,18,0,100,3365.999999999992,3.5854035854035855,89.92628992628994,0,0.15470015470015464,2.416052416052416,3.9175539175539167,0
67,1058,14719.236562807264,28,16,0,100,3309.999999999993,2.4417139256458724,90.75693131695022,0,0.1378386893509767,2.725267800882168,3.938248267170762,0
68,980,13069.347420236474,28,12,0,100,3165.9999999999936,3.002915451895044,92.06997084548107,0,0.10204081632653059,2.1610787172011663,2.66399416909621,0
69,1170,14972.80611543125,28,22,1,97,2521.9999999999945,3.39031339031339,92.0940170940171,0,0.560303893637227,1.9183285849952516,2.0370370370370368,0
70,980,12834.408167365049,28,16,0,100,3983.999999999992,3.860544217687075,89.1751700680272,0,0.15731292517006806,2.3554421768707483,4.451530612244897,0
71,1059,14337.263969361482,28,19,1,97,2072.0000000000014,2.6170241467691895,93.80817482800487,0,0.13489815189531904,1.5333423265434598,1.9065605467871758,0
72,939,11772.204228571232,28,17,0,100,2839.9999999999955,3.3384266333287025,90.8459508265037,0,0.27781636338380333,2.579061906746307,2.958744270037505,0
73,1092,15356.384736507976,28,19,0,100,3995.999999999991,3.772021629164487,88.56619570905285,0,0.11337868480725626,2.72108843537415,4.827315541601257,0
74,957,12259.9200669843,28,15,0,100,3451.999999999995,2.0773249738766983,91.66144200626957,0,0.1462904911180773,2.2152560083594564,3.899686520376175,0
75,1103,15691.977235501852,28,21,0,100,2049.9999999999923,1.717803120675669,94.19764279238441,0,0.0906618313689937,1.3790141718757456,2.6148780836951846,0
76,1148,16376.579416135753,28,19,0,100,2253.9999999999986,2.468060394889663,94.69885515181683,0,0.22399203583872568,1.0826281732205076,1.526464244234279,0
77,918,11577.72862975655,28,12,0,100,3415.999999999993,3.1901649548708373,91.56162464985992,0,0.17117958294428887,2.349828820417056,2.727201991907874,0
78,1148,16060.717373903175,28,23,0,100,3415.999999999996,3.1717565074810414,90.64357450297192,0,0.6302521008403362,1.9983603197376514,3.556056568969051,0
79,1298,20478.92503149029,28,17,0,100,2865.999999999996,1.6681181751189122,94.17498492664299,0,0.07704160246533129,1.5006364306290616,2.5792188651437,0
80,1198,17907.967498554674,28,14,0,100,3842.000000000002,2.972903557210736,92.19532554257096,0,0.10273532811095415,1.6373442917683316,3.0916912803390266,0
