episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
45,933,17876.784202357354,40,17,0,100,5317.51462383225,8.611771284775617,86.23421408266928,0,0.8341488419777249,1.2349130900787548,3.0849527004986257,0
46,1061,19553.98111994109,40,24,1,98,3581.999999999998,6.373704052780397,88.87252591894439,0,0.7952403393025448,1.4078699340245053,2.550659754948162,0
47,1097,17768.600193134138,40,29,2,96,3349.999999999998,9.173779729841716,85.49763818679041,0,3.3313996850915726,0.6215297919946963,1.3756526062815941,0
48,1535,30954.510108031132,40,26,3,94,3332.0000000000036,5.216379711493718,91.06095858538855,0,0.8887854816193582,1.1865984178687763,1.647277803629595,0
49,1068,21976.01655792074,40,23,0,100,3256.000000000001,3.993170301828597,89.36439744437102,0,0.33046926635822865,2.357347433355365,3.9546155540868035,0
50,1012,20321.985004696675,40,25,0,100,1932.0000000000043,2.9183135704874834,92.39789196310936,0,0.28985507246376807,1.238471673254282,3.1554677206851127,0
51,1123,23762.15436308773,40,22,0,100,4017.397644742036,6.708222024339567,87.55812803007815,0,1.1724547343425349,2.438903730088058,2.1222914811516773,0
52,1397,28800.29163433005,40,22,2,96,2632.0,3.5830748429173624,94.94551817386464,0,0.1312335958005249,0.5647021395052891,0.7754712479121928,0
53,1598,26747.82239292309,40,30,7,86,1225.9999999999995,2.5719649561952442,95.65081351689612,0,0.4943679599499375,0.5131414267834793,0.769712140175219,0
54,1080,13676.05378056691,40,24,4,92,4427.447610765744,10.283564814814815,86.22106481481478,0,0.8564814814814814,0.8101851851851851,1.8287037037037037,0
55,1165,25103.169634506045,40,22,1,98,2915.999999999999,4.96900333810205,91.41630901287553,0,0.12875536480686697,1.6309012875536482,1.855030996661898,0
56,1073,21510.688724393818,40,22,0,100,3111.999999999998,4.732318525421974,90.62338200269235,0,0.1863932898415657,1.3202858030444236,3.1376203789996886,0
57,1207,27311.579718882494,40,20,0,100,3265.999999999995,3.657829328914665,91.91797845898924,0,0.27754763877381944,1.3173156586578294,2.829328914664457,0
58,889,13761.831799451365,40,21,1,98,2907.9999999999995,5.180273518441774,90.13675922088684,0,0.11248593925759284,1.7346515896039312,2.8358297318098398,0
59,944,9400.674106794999,40,27,4,92,2718.7231729698924,8.3116036505867,88.41264667535856,0,0.5704041720990874,1.2141460234680572,1.4911994784876141,0
60,1521,31811.260814295714,40,28,3,94,1233.9999999999957,2.0764847687924615,95.7703265395573,0,0.06574621959237345,0.849222003068157,1.2382204689896998,0
61,966,18518.20885749138,40,21,0,100,4370.0,8.919036722240383,86.52064944971126,0,0.9316770186335404,1.5745886455268605,2.054048163887981,0
62,1124,23558.62014396598,40,19,0,100,3983.9999999999977,4.795797322487714,91.24300965937977,0,0.4448398576512454,1.0887985087273344,2.42755465175394,0
63,1209,22428.278903172162,40,27,2,96,3221.999999999998,5.2109181141439205,89.9599160145066,0,0.2672265699560985,1.7560603168543616,2.805878984539034,0
64,996,19650.351832249093,40,23,0,100,3335.999999999998,5.020080321285141,87.80415780770139,0,0.5433498700685093,2.344672808882589,4.287739192062367,0
65,1401,23919.537321837237,40,26,4,92,3358.0000000000027,6.923625981441828,90.28245131028858,0,0.6220046905271743,1.157336596308759,1.01458142143367,0
66,1214,21386.052039599395,40,30,2,96,2263.9999999999986,5.6095551894563425,90.30477759472818,0,0.8978583196046126,1.0873146622734762,2.100494233937397,0
67,1023,19778.491485796712,40,23,1,98,2524.0000000000027,5.025587947789087,91.82910700937268,0,0.31625553447185323,0.914265999654994,1.9147835087114025,0
68,1133,23920.38468079356,40,22,0,100,3204.0,5.079925468274983,91.36020398156319,0,0.6668628027851328,0.784544473864862,2.108463273511817,0
69,952,17687.277385380014,40,26,0,100,3374.000000000002,7.6830732292917165,85.6842737094838,0,1.5831332533013205,1.6581632653061227,3.3913565426170464,0
70,1012,20415.43185913717,40,20,1,98,2971.9999999999986,4.891304347826087,91.85276679841897,0,0.49407114624505927,0.8053359683794467,1.9565217391304346,0
71,988,17381.62492797207,40,25,1,98,2945.999999999999,6.794871794871796,89.2442645074224,0,0.3238866396761133,0.816464237516869,2.8205128205128207,0
72,1036,20410.913793092466,40,28,0,100,1771.9999999999986,3.2175032175032174,93.71782496782498,0,0.0965250965250965,1.817889317889318,1.1502574002574002,0
73,1294,22706.715732435787,40,31,4,92,2103.999999999999,6.3626996393611535,90.13395157135496,0,1.614288167611197,0.8329040013738622,1.056156620298815,0
74,1206,23668.4796185442,40,31,1,98,1554.0000000000018,3.5931453841901604,92.38068914685832,0,0.9673852957435047,1.2622074811129538,1.7965726920950802,0
75,1182,23207.938706165158,40,25,2,96,3696.000000000002,7.963902989283701,88.48843767625493,0,1.2013536379018612,1.0885504794134235,1.2577552171460802,0
76,1203,25592.652974326316,40,28,1,98,2484.000000000001,6.220559711831532,90.56525353283457,0,0.886672208367969,0.8312551953449709,1.4962593516209477,0
77,1379,21037.564605790492,40,29,5,90,1754.0000000000025,4.383940932164283,93.57900982266466,0,0.580130529369108,0.6394620607818576,0.8174566550201068,0
78,945,17865.453436952932,40,23,0,100,3276.000000000001,6.280734516028634,87.7808901338313,0,0.4481792717086835,2.023031434796141,3.4671646436352312,0
79,992,17178.21070575348,40,26,1,98,4473.215252272417,12.168778801843319,84.19498847926268,0,0.9216589861751152,0.5328341013824884,2.1817396313364057,0
80,1001,15333.824395328442,40,24,2,96,4212.000000000001,9.815184815184816,86.07642357642357,0,1.8981018981018982,0.7742257742257743,1.4360639360639362,0
81,1178,19179.883755843886,40,26,3,94,2720.0000000000036,5.445064273587193,91.6929420325006,0,0.09701673538685424,1.0308028134853262,1.7341741450400194,0
82,1027,16434.547604124014,40,20,2,96,3499.9999999999986,5.41869522882181,88.73417721518986,0,0.10710808179162609,2.745861733203506,2.9941577409931845,0
83,1061,18910.12218378847,40,24,1,98,3665.9999999999977,8.494344957587183,88.28345900094251,0,0.394674835061263,0.9189443920829407,1.9085768143261075,0
84,1066,18925.669641937984,40,28,1,98,3353.999999999998,5.565978736710444,88.78986866791745,0,1.4696685428392744,1.321138211382114,2.853345841150719,0
85,1143,17123.61557067665,40,29,3,94,4061.9999999999973,11.795116519525969,81.98520639465521,0,1.90885230255309,1.8611309949892627,2.4496937882764653,0
86,1050,19798.999467045087,40,21,1,98,3747.9046487470832,7.157894736842105,89.3483709273183,0,0.22556390977443608,1.1729323308270676,2.0952380952380953,0
87,1010,17689.43856521925,40,20,1,98,2981.9999999999986,4.905940594059406,91.52475247524754,0,0.29702970297029707,1.094059405940594,2.178217821782179,0
88,1084,22575.667864460833,40,23,0,100,2702.0000000000023,5.301714781853701,91.63229867592793,0,0.3147384415020621,1.0364662470154113,1.7147818537008899,0
89,1190,24061.202420975784,40,20,1,98,4075.999999999999,3.6680672268907557,92.60924369747899,0,0.31512605042016795,0.8781512605042017,2.5294117647058822,0
90,1064,20143.915420089226,40,20,1,98,4206.000000000003,6.743421052631579,88.43515037593984,0,0.4793233082706767,1.6823308270676693,2.6597744360902253,0
91,1369,29805.313479239376,40,21,2,96,3523.9999999999977,5.167044711852678,92.59928491791933,0,0.6727922801891505,0.6266579524047518,0.9342201376340779,0
92,1400,28261.675161415384,40,27,3,94,3302.0000000000014,6.730769230769231,90.45604395604396,0,0.9065934065934065,0.4725274725274725,1.434065934065934,0
93,1015,20100.899053213445,40,26,0,100,2992.0000000000014,6.488388458831809,88.06474313863477,0,0.7741027445460943,1.8648838845883184,2.8078817733990156,0
94,1556,33190.94115341585,40,25,2,96,2816.0,4.190231362467866,93.04198800342758,0,0.26135389888603255,0.9254498714652956,1.5809768637532136,0
95,1137,24130.139645690928,40,21,0,100,3553.999999999997,5.184465120585104,90.7327685969541,0,0.4999305651992779,1.041522010831829,2.5413137064296625,0
96,1145,21827.755101824652,40,22,1,98,3633.9999999999986,6.055312954876273,89.25278990781176,0,0.22319262493934977,1.9311014070839398,2.537603105288695,0
97,1330,17433.20153920259,40,28,6,88,3091.999999999999,5.902255639097745,91.3659147869674,0,1.2468671679197996,0.5827067669172932,0.9022556390977444,0
98,1439,33665.51582875706,40,23,0,100,2779.999999999999,4.02240117728815,93.45542247475782,0,0.1716878551281527,0.8625270817152434,1.4879614111106567,0
99,1211,21955.471498972314,40,27,2,96,3157.999999999996,7.273073747062186,89.25871816045226,0,0.6987232420758431,1.1560693641618496,1.6134154862478565,0
100,1230,22845.686183759182,40,25,3,94,2179.9999999999986,3.924119241192412,93.04607046070461,0,0.5420054200542004,1.0460704607046072,1.4417344173441733,0
101,1319,18388.723930615743,40,32,6,88,1155.9999999999989,4.890068233510235,94.39916603487492,0,0.21796815769522365,0.12319939347990903,0.36959818043972703,0
102,976,14451.825629437231,40,27,2,96,1845.9999999999995,5.067780580075662,92.23675914249684,0,0.10245901639344263,0.4886506935687263,2.1043505674653216,0
