episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
21,804,13079.306603441388,40,28,0,100,8101.030463278686,6.446932006633499,0,0,1.3681592039800992,0.6426202321724709,0.09328358208955223,0,0,0,91.44900497512437
22,725,10414.76913213687,40,26,0,100,8205.241794272888,14.12807881773399,0,0,1.7931034482758619,2.3251231527093594,1.2216748768472905,0,0,0,80.53201970443348
23,829,13793.396027879668,40,27,0,100,8616.429060643817,10.058457826853484,0.1391853020321054,0,1.0021341746311587,0.5289041477220006,0.06495314094831586,0,0,0,88.20636540781295
24,735,10682.409884063341,40,24,0,100,9640.324745022619,13.775510204081634,0.08503401360544217,0,2.100340136054422,0.7908163265306123,0.8333333333333333,0,0,0,82.41496598639455
25,724,10237.182285821673,40,25,0,100,8648.225704213224,13.69244935543278,0.17495395948434622,0,0.874769797421731,1.4917127071823204,0.8011049723756906,0,0,0,82.96500920810314
26,720,8013.633189297045,40,25,1,98,8782.317855077228,17.666666666666668,0,0,0.611111111111111,1.4074074074074074,1.212962962962963,0,0,0,79.10185185185185
27,792,10411.25091331396,40,29,1,98,7403.099336473409,7.598714416896235,0,0,1.1019283746556474,1.3888888888888888,0.7346189164370983,0,0,0,89.17584940312213
28,765,11560.1640660388,40,28,0,100,7966.586692697025,10.816993464052288,0.326797385620915,0,2.592592592592592,0.925925925925926,0.6209150326797385,0,0,0,84.71677559912854
29,890,15180.529115920803,40,36,1,98,2550.1046138663783,5.224719101123595,1.601123595505618,0,1.741573033707865,2.584269662921348,0,0,0,0,88.84831460674158
30,729,10569.1388998639,40,23,0,100,10877.734324592053,9.90075042362624,0,0,0.20172678124747842,0.6778019849915274,0.5567659162430404,0,0,0,88.66295489389171
31,807,12754.443159445156,40,31,0,100,6028.969657718635,6.567534076827757,0.22029464408646565,0,1.996420212033595,0.9913258983890955,0.08261049153242461,0,0,0,90.14181467713065
32,916,14450.121690282456,40,27,1,98,12271.449120505271,15.922069197178368,0.2855223379240846,0,3.0483708431306686,0.5542492442055761,0,0,0,0,80.1897883775613
33,811,13041.112664598428,40,30,0,100,6779.8052730476675,6.337854500616523,0,0,1.9358816276202222,0.7644882860665845,0.1849568434032059,0,0,0,90.77681874229346
34,897,16236.43682506435,40,26,1,98,8924.553618307697,11.61012900143335,0.03185220576524924,0,1.0590858416945368,0.6529702181876096,0.3185220576524924,0,0,0,86.32744067526674
35,719,10131.8104504202,40,28,0,100,7566.223798970406,11.103384330088085,0,0,1.5762633286972647,1.5530829856281874,0.27816411682892905,0,0,0,85.48910523875753
36,806,12742.457726823783,40,28,0,100,9360.137949255737,15.374276261373037,0,0,5.086848635235732,1.447477253928867,0.7857733664185277,0,0,0,77.30562448304384
37,735,10700.700958491014,40,27,0,100,7164.647859469526,10.162218733647306,0,0,1.4965986394557822,1.4965986394557822,0.30350601779173203,0,0,0,86.5410779696494
38,736,10500.677118002723,40,27,0,100,9682.1837570698,17.088210702341133,0.18812709030100333,0,1.5050167224080266,1.484113712374582,1.4736622073578594,0,0,0,78.26086956521739
39,856,12222.838647621391,40,33,1,98,6265.915247969699,10.547396528704942,0.7343124165554071,0,3.371161548731642,3.7049399198931905,1.1014686248331107,0,0,0,80.5407209612817
40,783,12324.151147007322,40,26,0,100,8852.171038711596,9.414340448823205,0,0,2.5451559934318544,0.8848750228060573,0.1733260353950009,0,0,0,86.98230249954388
41,726,10415.603165017104,40,23,0,100,11347.70783051707,15.20823205315184,0.01620482903905364,0,0.6157835034840383,1.6042780748663104,1.5232539296710421,0,0,0,81.03224760978772
42,838,13788.67635027242,40,34,0,100,4255.089133934497,0.5171042163882259,0,0,1.690533015115354,1.1734287987271281,0.01988862370723946,0,0,0,96.59904534606204
43,738,10730.720518412449,40,24,0,100,9688.798188440045,13.88042005420054,0.02540650406504065,0,1.219512195121951,1.016260162601626,0.7706639566395664,0,0,0,83.08773712737127
44,752,11076.228532913583,40,29,0,100,7081.763677783912,16.32011605415861,0.43520309477756286,0,2.6958413926499034,1.2209864603481626,0.19342359767891681,0,0,0,79.13442940038684
45,741,10886.546221532133,40,27,0,100,7631.362624446029,8.82383473476591,0.02076196408180214,0,0.9550503477628984,1.4637184677670507,0.9550503477628982,0,0,0,87.78158413785944
46,906,16493.770412063026,40,23,0,100,14191.600055476207,13.01129723412544,0.02597065316192702,0,2.66199194909752,0.5323983898195039,0.5129203999480587,0,0,0,83.25542137384755
47,717,10169.583444196065,40,24,0,100,9705.748655306828,11.20118549511855,0,0,0.6101813110181309,1.6039051603905161,2.7806834030683403,0,0,0,83.80404463040448
48,909,13736.585060648225,40,35,2,96,3625.098863876703,14.477447744774476,16.58965896589659,0,6.27062706270627,3.19031903190319,1.76017601760176,0,0,0,57.71177117711772
49,799,12718.787870400614,40,25,0,100,10939.81931443247,14.835210680016688,0.016687526074259492,0,3.4125990821860657,0.7843137254901962,0.4672507300792657,0,0,0,80.48393825615352
50,778,12250.877271145973,40,25,0,100,9558.047318135501,10.068551842330761,0.00856898029134533,0,1.2510711225364184,1.9365895458440447,1.765209940017138,0,0,0,84.9700085689803
