episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
0,1212,17736.874862153327,28,22,0,98,14267.718122645869,3.1032269893656026,0.0,0,0.1558489182251559,2.232306563989732,4.047488082141548,0,0,0,90.46112944627797,0,behavior_clone_32768,True,1:0.7
1,1138,16041.472782607878,28,15,0,100,18708.347619838416,3.7047451669595786,0.0,0,0.2741652021089629,2.699472759226713,4.710017574692442,0,0,0,88.61159929701228,0,behavior_clone_32768,True,1:0.7
2,1108,15226.742887020837,28,19,0,100,15529.185620911348,2.703283479456765,0.0,0,0.0902527075812274,3.115867285542376,4.529826370981605,0,0,0,89.56077015643802,0,behavior_clone_32768,True,1:0.7
3,1165,15908.00544815581,28,18,0,100,18381.167245217464,1.8298868513460789,2.239563012095201,0,0.0858369098712446,3.273507608271556,5.7510729613733895,0,0,0,86.82013265704252,0,behavior_clone_32768,True,1:0.7
4,1200,17925.040309027478,28,14,0,100,19369.645773350323,2.977564102564102,0.0,0,0.1474358974358973,2.429487179487179,3.3397435897435903,0,0,0,91.1057692307692,0,behavior_clone_32768,True,1:0.7
5,1110,15342.114452875225,28,13,0,98,22893.091848130447,3.880547213880547,0.0,0,0.343677010343677,2.3923923923923924,4.020687354020688,0,0,0,89.3626960293627,0,behavior_clone_32768,True,1:0.7
6,1180,16955.265905617598,28,23,0,100,12868.483318390854,3.833499501495513,0.0,0,0.2492522432701895,1.5054835493519438,2.26321036889332,0,0,0,92.14855433698904,0,behavior_clone_32768,True,1:0.7
7,1147,16406.418396732486,28,18,0,100,17261.797634648527,2.3935959419830386,0.0,0,0.0871839581517001,2.853293175873821,4.77926606958865,0,0,0,89.88666085440279,0,behavior_clone_32768,True,1:0.7
8,1188,17470.783770841063,28,17,0,100,18327.222677360984,1.745718050065876,0.2269067486458791,0,0.0988142292490118,2.415458937198068,4.7284438588786415,0,0,0,90.78465817596252,0,behavior_clone_32768,True,1:0.7
9,1169,16416.152482067264,28,16,0,100,19515.64189811835,2.6126318790989447,0.0,0,0.0855431993156544,2.5556030795551754,5.1147704590818375,0,0,0,89.63145138294837,0,behavior_clone_32768,True,1:0.7
10,1162,16499.603944857157,28,21,0,98,14984.18008427635,2.0699338708216324,2.0291693088142044,0,0.0951173113506658,2.6632847178186427,5.362804601866111,0,0,0,87.77969018932875,0,behavior_clone_32768,True,1:0.7
11,1193,17990.450716638363,28,14,0,100,18750.026156427757,3.485073183312915,0.0,0,0.0902701657102327,3.004706944354891,3.762331549422916,0,0,0,89.65761815719905,0,behavior_clone_32768,True,1:0.7
12,1241,18758.016239444576,28,22,0,98,14057.350782355967,2.0055510788790403,2.20252484555466,0,0.2059271197063299,2.8158295281582952,4.763183812337721,0,0,0,88.00698361536395,0,behavior_clone_32768,True,1:0.7
13,1260,18623.217618112994,28,19,0,98,18132.13913430629,3.5147392290249435,0.0,0,0.2985638699924413,3.102796674225245,4.44822373393802,0,0,0,88.63567649281937,0,behavior_clone_32768,True,1:0.7
14,1187,17825.230822206115,28,14,0,100,19910.524757995496,4.701574752122351,0.0,0,0.5832415267967079,1.9797809604043808,3.742466463612209,0,0,0,88.99293629706435,0,behavior_clone_32768,True,1:0.7
15,1140,16037.798564580982,28,21,0,100,15521.849304535499,2.6038781163434903,0.2077562326869806,0,0.2770083102493076,2.5715604801477383,5.392428439519853,0,0,0,88.94736842105264,0,behavior_clone_32768,True,1:0.7
16,1179,17199.387190268033,28,17,0,100,18985.587189514645,4.004867795110078,0.0,0,0.1327580484566876,2.680975034111443,4.37364015193421,0,0,0,88.8077589703876,0,behavior_clone_32768,True,1:0.7
17,1114,15942.692186553266,28,15,0,100,20326.673900678372,5.044883303411131,0.0,0,0.3626570915619391,2.380610412926391,4.208258527827648,0,0,0,88.00359066427288,0,behavior_clone_32768,True,1:0.7
18,1134,16035.927512846942,28,16,0,100,19721.830447597782,3.4832451499118164,0.0,0,0.1984126984126983,4.004997060552617,5.838477366255143,0,0,0,86.47486772486774,0,behavior_clone_32768,True,1:0.7
19,1118,15738.6727757819,28,21,0,100,15587.18793593535,1.793616420299407,0.0,0,0.0894454382826475,2.3444120139346576,5.941060163826381,0,0,0,89.83146596365691,0,behavior_clone_32768,True,1:0.7
20,1204,17100.68877830901,28,19,0,100,17876.501191067702,4.1449137794652735,0.0,0,0.2333491536149343,2.9663028001898435,3.9432051890523647,0,0,0,88.71222907767759,0,behavior_clone_32768,True,1:0.7
21,1113,15183.955207199886,28,22,0,100,13265.953268790416,2.2461814914645104,0.0,0,0.2346011779974044,2.236198462613557,3.324348607367475,0,0,0,91.95867026055706,0,behavior_clone_32768,True,1:0.7
22,1156,15779.549967449044,28,23,0,100,14368.44763384074,2.294931813555872,0.0814166497048646,0,0.1730103806228372,3.5314471809485037,5.790759210258497,0,0,0,88.12843476490941,0,behavior_clone_32768,True,1:0.7
23,1194,17291.368957441857,28,23,0,98,15119.38997801172,2.443590501527244,0.0,0,0.1576510000985319,3.9117154399448224,6.6311951916444976,0,0,0,86.8558478667849,0,behavior_clone_32768,True,1:0.7
24,1181,16610.76896472944,28,17,0,100,18687.33550914886,1.531495048411442,0.0,0,0.0846740050804403,3.4974045576703605,4.274196517321356,0,0,0,90.6122298715164,0,behavior_clone_32768,True,1:0.7
25,1160,16626.5142322547,28,25,0,100,11882.683081345403,2.8103448275862077,0.0,0,0.4482758620689655,2.724137931034483,3.511494252873563,0,0,0,90.50574712643676,0,behavior_clone_32768,True,1:0.7
26,1158,16308.28264681074,28,23,0,100,14213.222526197305,3.423752920857462,0.0558772731890683,0,0.1574723153510109,3.5101087066951133,5.262623183988621,0,0,0,87.59016559991872,0,behavior_clone_32768,True,1:0.7
27,730,7280.249179949739,28,12,0,100,19789.858261674097,5.391389432485323,0.2788649706457926,0,0.4549902152641876,2.348336594911938,6.981409001956947,0,0,0,84.54500978473581,0,behavior_clone_32768,True,1:0.7
28,1270,18676.646083662992,28,15,0,100,22098.745195083135,3.0015748031496066,0.0,0,0.1921259842519685,3.4456692913385822,3.474015748031496,0,0,0,89.88661417322834,0,behavior_clone_32768,True,1:0.7
29,1100,15509.833978638204,28,18,0,98,17785.240415328066,1.7809917355371905,0.0,0,0.0909090909090909,3.545454545454546,5.537190082644628,0,0,0,89.04545454545456,0,behavior_clone_32768,True,1:0.7
30,1157,16395.89502651007,28,18,0,98,18277.00737063019,1.4693171996542784,0.0,0,0.0864304235090751,3.343285927555591,5.067965742123046,0,0,0,90.03300070715801,0,behavior_clone_32768,True,1:0.7
31,1164,16199.665752302515,28,21,0,100,17303.727040690188,4.006149394103816,0.0,0,0.3391209983722192,3.5585096762524864,5.195333695062398,0,0,0,86.90088623620906,0,behavior_clone_32768,True,1:0.7
