episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
45,867,15845.707562826981,40,12,0,100,5430.751144970126,8.168561542263964,87.77805239742959,0,0.2924699291481299,1.029823694183556,2.731092436974789,0
46,1316,25552.711217386608,40,29,3,94,2324.0,4.932301740812379,90.53605968499583,0,1.340149212489638,1.4368610113290963,1.754628350373031,0
47,1191,23490.61889853967,40,27,1,98,4326.000000000001,10.327455919395467,85.13208034618614,0,1.8601046308854876,0.8977588322676484,1.7826002712652589,0
48,936,8732.582896994581,40,27,4,92,3325.999999999998,10.092044707429324,85.34681130834977,0,1.2738330046022357,0.9861932938856015,2.3011176857330704,0
49,1259,28528.69397691554,40,21,0,100,2948.0000000000014,2.9973663308390117,94.1306801555119,0,0.664687931106559,0.6688683583462229,1.5383972241963129,0
50,1315,24821.740650836535,40,24,3,94,2087.9999999999986,3.7262357414448664,94.02566539923954,0,0.16634980988593162,1.0123574144486691,1.0693916349809887,0
51,1379,27159.848270089067,40,19,2,96,5126.000000000002,6.550640560792845,89.75102731447909,0,0.47998894989467866,1.3985289547291,1.8198142201042855,0
52,1262,23925.278426197474,40,23,3,94,3589.9999999999977,6.036170411112147,90.67306795935488,0,0.9462104968770392,0.9601939032348281,1.384357229421087,0
53,1348,22265.538063831344,40,33,5,90,2210.000000000002,8.27681220856295,87.53709198813056,0,2.1513353115727,0.7524374735057228,1.2823230182280627,0
54,1115,19451.132214007343,40,23,2,96,3872.000000000002,7.570561857029808,88.95278290688474,0,1.0656818781324189,0.8335531522025851,1.5774202057504618,0
55,1022,19906.54969326491,40,21,0,100,3973.99999999999,4.403131115459883,88.87115047893708,0,0.9269749716757647,1.9620970233803683,3.8366464105469156,0
56,1176,23280.084485165768,40,22,2,96,3079.999999999997,4.469009826152683,91.30291005291004,0,0.4157218442932729,1.421957671957672,2.3904006046863184,0
57,989,18898.954418526104,40,20,0,100,4436.0,6.450960566228513,86.43579373104144,0,0.2679474216380182,2.350859453993934,4.4944388270980795,0
58,1063,17558.519271551817,40,25,2,96,2640.0000000000036,4.697397303229852,91.78425838820948,0,0.9219190968955786,0.9156475384132957,1.680777673251803,0
59,1153,24127.48342660027,40,28,0,100,2395.9999999999995,4.683434518647007,92.0858629661752,0,0.6938421509106677,0.5420641803989592,1.9947961838681698,0
60,1225,25924.249322991207,40,26,0,100,2161.9999999999986,4.862973760932945,92.90962099125363,0,0.10495626822157438,0.7871720116618076,1.3352769679300291,0
61,1018,19919.387314671923,40,21,1,98,4258.02739184321,8.204942611932582,87.66932064936408,0,1.111570675214559,1.3028642332747387,1.711301830214042,0
62,1018,20463.840918250764,40,25,0,100,2133.9999999999973,3.5297969875573014,92.3903077930583,0,0.7203667321545515,1.1329404060248853,2.226588081204977,0
63,968,13765.316185652035,40,23,2,96,3499.9999999999995,7.4866310160427805,88.25352455031599,0,1.3490520175012155,1.112056392805056,1.7987360233349539,0
64,1451,29190.394867500425,40,22,3,94,2373.9999999999977,3.5263036985986673,94.94984302013937,0,0.2871582816448427,0.5053985756949231,0.7312964239221994,0
65,1191,19167.471080158943,40,27,4,92,2113.999999999999,4.682555060388814,92.72104889233354,0,0.8525479558225151,0.45210876445133374,1.2917393270038107,0
66,1357,26077.18988788843,40,31,2,96,1491.9999999999955,3.791042331941374,92.56529927126832,0,0.5813477442069926,1.326455416359617,1.735855236223696,0
67,1140,24271.36310134657,40,22,0,100,4006.0000000000027,6.627680311890837,89.35672514619883,0,0.6237816764132553,0.8820662768031189,2.509746588693957,0
68,1164,19068.593676904973,40,23,3,94,3500.7489434866325,6.372549019607844,90.41843541540327,0,0.8338386901152212,0.6973923590054578,1.677784515868203,0
69,984,17472.80435160506,40,18,1,98,4645.352899817627,8.790650406504065,87.95269770879527,0,0.15705838876570585,1.2564671101256466,1.8431263858093128,0
70,1189,25340.35282768696,40,22,0,100,4375.999999999996,6.219044949070181,88.19736473226801,0,1.074665919072984,1.5792916549855154,2.929632744603309,0
71,1248,20851.5886491323,40,27,3,94,2456.000000000001,5.4733727810650885,91.73446745562131,0,1.0355029585798812,0.6964990138067062,1.0601577909270217,0
72,1196,19504.069684279137,40,24,3,94,2923.9999999999977,5.7065217391304355,91.68060200668896,0,0.841346153846154,0.6793478260869565,1.0921822742474918,0
73,1518,30312.996731866588,40,30,4,92,2769.999999999996,6.515151515151516,89.45981554677206,0,1.0210803689064558,1.4163372859025039,1.5876152832674575,0
74,1640,38077.55452520197,40,30,2,96,2062.0000000000005,3.853658536585366,92.34756097560975,0,0.7682926829268293,1.3658536585365857,1.6646341463414636,0
75,1310,27692.29189506175,40,24,1,98,3313.999999999999,5.58206106870229,91.89885496183204,0,0.7251908396946565,0.782442748091603,1.0114503816793894,0
76,1186,18966.07676192429,40,28,3,94,1845.999999999996,5.389263631253513,92.72765598650928,0,0.16863406408094436,0.7869589657110736,0.9274873524451939,0
