episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
0,2928,74554.35781739224,40,25,2,94,3391.242365874615,3.882058287795993,21.72131147540984,0,4.462659380692168,0.7399817850637523,0.1366120218579235,0,0,0,69.05737704918033,behavior_clone_32768,True,0.7:1
1,2926,79288.02029477614,40,26,0,100,7120.972723426621,2.4777853725222148,39.08065618591935,0,4.289131920710868,0.0,0.4784688995215311,0,0,0,53.673957621326046,behavior_clone_32768,True,0.7:1
2,3014,77813.965162422,40,26,1,98,5462.45705274053,2.770404777704048,39.76443264764433,0,4.014598540145985,0.7299270072992701,0.13271400132714,0,0,0,52.58792302587924,behavior_clone_32768,True,0.7:1
3,2319,58909.71483588479,40,18,1,98,12517.53247663163,3.238464855541181,0.0,0,1.5394566623544632,0.8106942647692972,1.3626563173781805,0,0,0,93.04872789995687,behavior_clone_32768,True,0.7:1
4,3404,85320.34797302428,40,25,6,88,4441.943848195517,4.308656482569527,26.390520955738346,0,2.712495103799452,0.4700352526439483,0.763807285546416,0,0,0,65.35448491970232,behavior_clone_32768,True,0.7:1
5,2877,74696.42823648966,40,24,1,98,6241.381799510129,6.699687174139729,0.0,0,2.519986096628432,0.3823427181091414,1.0340632603406326,0,0,0,89.36392075078206,behavior_clone_32768,True,0.7:1
6,3420,90688.14412211964,40,26,3,94,2731.236449033228,0.043859649122807,48.28947368421052,0,2.5292397660818717,0.3947368421052631,0.0146198830409356,0,0,0,48.7280701754386,behavior_clone_32768,True,0.7:1
7,3384,93046.04509892284,40,24,1,98,5416.587221096934,0.9308510638297872,0.0,0,0.9530141843971632,0.4949763593380615,0.4802009456264775,0,0,0,97.1409574468085,behavior_clone_32768,True,0.7:1
8,2837,77166.87057859312,40,22,0,100,9738.989793290699,3.095993420279638,0.0,0,2.020914111150276,0.3701092703560098,0.8988367994360239,0,0,0,93.61414639877806,behavior_clone_32768,True,0.7:1
9,3420,83068.2046030365,40,26,6,88,4961.06270597602,12.22222222222222,40.599415204678365,0,4.502923976608187,0.4385964912280702,0.1169590643274853,0,0,0,42.11988304093568,behavior_clone_32768,True,0.7:1
10,2415,57488.1945991887,40,22,3,94,9111.888411809223,2.3050379572118698,0.0,0,1.518288474810214,0.7039337474120082,0.6004140786749482,0,0,0,94.87232574189096,behavior_clone_32768,True,0.7:1
11,3420,85412.02927622832,40,26,5,90,3390.7361685815804,2.2076023391812862,49.47368421052632,0,2.1345029239766085,0.5409356725146198,0.9941520467836258,0,0,0,44.64912280701755,behavior_clone_32768,True,0.7:1
12,2924,78588.51457457917,40,23,1,98,8528.851876825629,3.789329685362517,0.0,0,1.6142270861833106,0.2325581395348837,0.3419972640218878,0,0,0,94.0218878248974,behavior_clone_32768,True,0.7:1
13,2315,59330.57460673076,40,18,1,96,13180.910040702176,6.11231101511879,0.0,0,1.8488120950323976,0.5874730021598273,1.2440604751619873,0,0,0,90.207343412527,behavior_clone_32768,True,0.7:1
14,5000,130114.56648638385,39,26,7,84,3141.1359888169636,2.58,82.99000000000001,0,2.51,0.01,0.16,0,0,0,11.75,behavior_clone_32768,True,0.7:1
15,3420,88194.63029656242,40,26,5,88,1859.95785180356,6.096491228070176,27.76315789473684,0,2.4707602339181287,2.8947368421052637,1.8859649122807016,0,0,0,58.888888888888886,behavior_clone_32768,True,0.7:1
16,3420,82484.86455521532,40,26,7,86,3406.7608825888756,4.02046783625731,74.22514619883042,0,3.450292397660818,0.0,0.1461988304093567,0,0,0,18.157894736842103,behavior_clone_32768,True,0.7:1
17,3420,80724.3593177903,40,26,8,84,3057.9240752888777,4.137426900584796,75.27777777777777,0,3.801169590643275,0.087719298245614,0.2631578947368421,0,0,0,16.432748538011694,behavior_clone_32768,True,0.7:1
18,3369,91054.81924469511,40,24,1,96,5469.603641322656,2.626892252894034,0.0,0,1.6028495102404272,0.1780943900267141,0.1261501929355891,0,0,0,95.46601365390325,behavior_clone_32768,True,0.7:1
19,3420,65448.22626467659,40,26,13,74,2432.2497493402225,2.631578947368421,75.76023391812866,0,3.435672514619883,0.2923976608187134,0.0,0,0,0,17.880116959064328,behavior_clone_32768,True,0.7:1
20,5000,128973.41743337468,39,26,6,88,3788.1131061002598,1.48,77.33,0,1.46,0.72,2.57,0,0,0,16.439999999999998,behavior_clone_32768,True,0.7:1
21,2396,64039.79097801325,40,19,0,100,11999.174204191739,7.702652569096643,0.0,0,1.6508996475607496,0.908922277870525,1.3123724726395845,0,0,0,88.42515303283251,behavior_clone_32768,True,0.7:1
22,2868,76491.85421335645,40,22,1,98,8687.584211264297,1.214551371455137,0.0,0,1.2494188749418875,0.4765225476522547,0.8310088331008834,0,0,0,96.22849837284984,behavior_clone_32768,True,0.7:1
23,2963,75805.08500167562,40,26,3,94,3880.9160192131567,5.568680391495106,17.195410057374282,0,4.775565305433682,0.5399932500843739,0.1181235234559568,0,0,0,71.8022274721566,behavior_clone_32768,True,0.7:1
24,2844,70102.72029118582,40,22,2,94,9196.135170963575,4.54172526957337,0.0,0,2.2855133614627285,0.4043600562587904,0.5039849976558837,0,0,0,92.26441631504922,behavior_clone_32768,True,0.7:1
25,2905,77216.10644218257,40,23,1,98,7771.6733678131,2.7814113597246126,0.0,0,1.1841652323580034,0.7091222030981067,0.8743545611015491,0,0,0,94.45094664371771,behavior_clone_32768,True,0.7:1
26,2925,71758.42731472179,40,25,3,92,4678.060436274447,6.37037037037037,60.501424501424495,0,7.282051282051282,1.1168091168091168,1.2421652421652425,0,0,0,23.487179487179485,behavior_clone_32768,True,0.7:1
27,2927,71627.9280617908,40,26,3,94,5229.441750240172,3.843525794328664,68.55141783395969,0,3.689784762555517,0.1024940211820977,0.9566108643662452,0,0,0,22.856166723607792,behavior_clone_32768,True,0.7:1
28,2355,62275.34967717582,40,19,0,98,11892.263823404128,7.2517103090351505,0.0,0,2.642132578438311,0.6794055201698513,1.429582448690729,0,0,0,87.99716914366596,behavior_clone_32768,True,0.7:1
29,2891,76508.34846254639,40,21,1,98,10759.63531129238,4.526362603152641,0.0,0,2.579433710530217,0.1877748678163759,0.7906310223847408,0,0,0,91.91579779611602,behavior_clone_32768,True,0.7:1
30,2926,69524.2633805606,40,25,5,90,4783.543179801167,5.354294827979039,39.58760537707906,0,4.089769879243564,0.3075871496924129,0.7177033492822966,0,0,0,49.94303941672363,behavior_clone_32768,True,0.7:1
31,2926,75854.41284248278,40,25,1,98,4836.209503405892,2.1645021645021645,13.237639553429029,0,3.4062428799270905,0.4898610161768056,0.4898610161768057,0,0,0,80.2118933697881,behavior_clone_32768,True,0.7:1
32,2899,71727.67748988199,40,25,2,96,6648.994828841364,3.368977808439692,13.958836380361044,0,2.35713464413016,1.1728182131769576,1.5407611820167872,0,0,0,77.60147177187535,behavior_clone_32768,True,0.7:1
33,3420,81409.81894928635,40,26,6,88,3221.183060775927,6.125730994152047,71.33040935672514,0,3.2748538011695905,0.3947368421052631,0.4532163742690058,0,0,0,18.42105263157895,behavior_clone_32768,True,0.7:1
