episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
25,1160,16626.5142322547,28,25,0,100,10672.878095333344,2.8103448275862073,0,0,0.4482758620689655,2.724137931034483,3.511494252873563,0,0,0,90.50574712643676,0
26,1158,16308.28264681074,28,23,0,100,13645.164006492188,3.4237529208574626,0.05587727318906838,0,0.1574723153510109,3.5101087066951133,5.262623183988621,0,0,0,87.59016559991872,0
27,730,7280.249179949739,28,12,0,100,18150.125795845222,5.391389432485323,0.2788649706457926,0,0.4549902152641876,2.348336594911938,6.981409001956947,0,0,0,84.54500978473581,0
28,1270,18676.646083662992,28,15,0,100,20577.88286305371,3.0015748031496066,0,0,0.1921259842519685,3.4456692913385822,3.474015748031496,0,0,0,89.88661417322834,0
29,1100,15509.833978638204,28,18,0,100,16493.46826382212,1.7809917355371903,0,0,0.09090909090909091,3.545454545454546,5.537190082644628,0,0,0,89.04545454545456,0
30,1157,16395.89502651007,28,18,0,100,17341.76599406191,1.4693171996542784,0,0,0.08643042350907516,3.343285927555591,5.067965742123046,0,0,0,90.03300070715801,0
31,1164,16199.665752302517,28,21,0,100,16013.798398042622,4.006149394103816,0,0,0.33912099837221926,3.5585096762524864,5.195333695062398,0,0,0,86.90088623620906,0
32,1158,16460.73956022641,28,11,0,100,20808.48692449477,4.18378893454827,1.917694002739563,0,0.21142278601631825,2.0844500029777864,3.8353880054791256,0,0,0,87.76725626823892,0
33,1199,16732.098467388805,28,20,0,100,16870.002954168885,3.04837364470392,0.713094245204337,0,0.21267723102585492,2.939949958298582,5.300250208507089,0,0,0,87.78565471226021,0
34,1206,16852.410226254407,28,19,0,100,18613.163417066862,2.3849008923635786,0,0,0.08291873963515757,2.6415541340914475,6.518992339887863,0,0,0,88.37163389402195,0
35,830,9211.24620635152,28,18,0,100,15500.089885947471,6.2486308871851035,0,0,0.3450164293537788,2.869660460021906,5.175246440306681,0,0,0,85.36144578313252,0
36,1136,15519.209428882803,28,19,0,100,16517.951292554884,2.1504024144869214,0,0,0.24312541918175737,2.020456069751844,4.652917505030181,0,0,0,90.9330985915493,0
37,1141,17014.11799858938,28,13,0,100,19000.923876545297,2.9084299022949325,0,0,0.22072905508488316,2.0255136819553994,4.002337131171487,0,0,0,90.84299022949331,0
38,1156,16552.27340310352,28,16,0,100,17787.962129176874,2.6528258362168398,0,0,0.3279988465974624,3.045703575547866,5.601211072664359,0,0,0,88.37226066897347,0
39,1138,16339.379164899152,28,14,0,100,18420.160575095884,4.55928078950926,0,0,0.11153170204136811,2.7950520481276193,5.025686088954981,0,0,0,87.5084493713668,0
40,1141,15277.293146418282,28,23,0,100,15173.284770808692,2.974686807238233,0.07217610970768676,0,0.5310099499922668,4.5780275300304165,7.222766407176366,0,0,0,84.62133319585504,0
41,1202,17938.744752157876,28,18,0,100,15631.890133371882,3.8458629556799275,0,0,0.08319467554076534,2.2576009680834965,3.4525790349417633,0,0,0,90.36076236575404,0
42,1237,18075.709758517274,28,20,0,100,14397.488234188828,2.2837510105092966,0,0,0.09296685529506875,1.608730800323363,3.9248181083265967,0,0,0,92.08973322554567,0
43,1164,16033.909366011587,28,20,0,100,16503.122373130507,2.195017182130584,0,0,0.08591065292096219,3.238831615120275,5.781786941580755,0,0,0,88.6984536082474,0
44,1153,16759.5523212482,28,20,0,100,15049.561873614102,2.732003469210755,0,0,0.46834345186470105,2.4544666088464875,3.586296617519514,0,0,0,90.75888985255854,0
45,1137,15736.5893597392,28,21,0,100,14099.448027213979,3.763366199139009,0,0,0.42586677776234766,2.564458640003703,4.925241864555849,0,0,0,88.3210665185391,0
46,1150,16629.80010200339,28,15,0,100,17435.674768592922,2.4208695652173917,0.20521739130434782,0,0.21913043478260852,3.0295652173913044,4.935652173913043,0,0,0,89.18956521739132,0
47,1155,17042.435756573297,28,20,0,100,14025.624640360491,2.8614718614718613,0,0,0.1428571428571429,2.5194805194805197,3.891774891774892,0,0,0,90.5844155844156,0
48,1261,17964.255981783503,28,23,0,100,13645.487818990048,1.604702150487475,1.8799272286234079,0,0.07930214115781124,2.649624481037458,6.712693007417083,0,0,0,87.07375099127674,0
49,1144,16469.01795209666,28,18,0,100,14488.628813862935,3.0832803560076285,0,0,0.25429116338207247,2.268753973299428,3.2700254291163384,0,0,0,91.12364907819452,0
50,1157,16939.182674543492,28,22,0,100,13034.342523597163,0.7634687409968309,0,0,0.12484394506866417,2.3000096033803903,4.32152117545376,0,0,0,92.49015653510034,0
51,1136,16122.449162901701,28,16,0,100,17051.033414176818,2.662852112676056,0.022007042253521125,0,0.2090669014084506,2.4501173708920185,5.256015258215962,0,0,0,89.399941314554,0
52,1197,17390.99451876647,28,17,0,100,17455.002115513653,4.1480512876393885,0,0,0.26515564273001346,2.2302132141949076,5.132396207911082,0,0,0,88.2241836475246,0
53,1172,16739.92586635925,28,20,0,100,14874.274130682485,1.454778156996587,0,0,0.08532423208191124,1.9411262798634816,3.86518771331058,0,0,0,92.65358361774744,0
