episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
12,1489,23445.67848629899,28,22,0,98,80546.16665709009,1.1081262592343857,0.0,0,0.0671591672263264,3.137825535407806,5.160062681889412,0,0,0,90.52682635624208,0,behavior_clone_8198,False,1:0.7
13,1182,16941.331965170808,28,19,0,94,55829.46878726233,0.7694786882604142,0.0,0,0.0846023688663282,3.291435017323342,5.144629763919105,0,0,0,90.70985416163084,0,behavior_clone_8198,False,1:0.7
14,1306,19910.254797513524,28,14,0,96,49271.49545542679,2.5503592884909887,0.0,0,0.0854046413005065,2.6357639297914948,5.227353045117209,0,0,0,89.50111909529981,0,behavior_clone_8198,False,1:0.7
15,1157,16147.188844988876,28,19,0,92,67739.36733113043,1.4240441206733343,0.0,0,0.0864304235090751,5.025311766884801,6.334115322879368,0,0,0,87.1300983660534,0,behavior_clone_8198,False,1:0.7
16,1320,20565.84047014698,28,17,0,96,74112.11591868226,1.5217391304347827,0.0,0,0.0757575757575757,3.0303030303030307,5.424901185770751,0,0,0,89.94729907773387,0,behavior_clone_8198,False,1:0.7
17,1104,14777.55885391843,28,15,0,98,26699.061689949664,3.5217391304347823,0.0,0,0.0905797101449275,2.7210144927536235,5.702898550724637,0,0,0,87.96376811594202,0,behavior_clone_8198,False,1:0.7
18,1036,13484.43119782155,28,15,0,92,62980.93291257588,2.1003861003861006,0.0,0,0.0965250965250965,3.799227799227799,5.953667953667953,0,0,0,88.05019305019304,0,behavior_clone_8198,False,1:0.7
19,1205,17301.36183116307,28,24,0,94,58990.772243964515,0.8143153526970953,0.0,0,0.1037344398340249,4.019709543568465,6.338174273858921,0,0,0,88.7240663900415,0,behavior_clone_8198,False,1:0.7
20,1309,19319.07315591613,28,17,0,96,43669.586900490685,1.355166572557877,0.0,0,0.0763941940412529,2.2486464941707918,4.766333410834691,0,0,0,91.5534593283954,0,behavior_clone_8198,False,1:0.7
21,1350,20153.18987509989,28,23,0,92,74789.90137383142,2.7625272331154687,0.0,0,0.1045751633986928,4.919389978213507,6.4880174291939,0,0,0,85.72549019607843,0,behavior_clone_8198,False,1:0.7
22,1167,16179.231959251942,28,22,0,98,42855.53806605613,2.589736265828811,0.0,0,0.1237741597638769,3.3323812244120727,6.550509378272875,0,0,0,87.40359897172236,0,behavior_clone_8198,False,1:0.7
23,1404,21943.77694550374,28,24,0,94,47381.198196240344,1.055021367521367,0.0,0,0.0801282051282051,2.4127492877492878,4.945690883190883,0,0,0,91.50641025641023,0,behavior_clone_8198,False,1:0.7
24,1262,19276.199221773582,28,16,0,96,46064.078593863625,1.660723718964606,0.0,0,0.0792393026941362,3.281827786582145,4.424194400422609,0,0,0,90.5540147913365,0,behavior_clone_8198,False,1:0.7
25,1335,20434.996587217123,28,27,0,96,41855.01301463251,1.9706136560069143,0.0,0,0.2765773552290406,2.5064822817631804,4.18323249783924,0,0,0,91.06309420916163,0,behavior_clone_8198,False,1:0.7
26,1204,17404.06081484959,28,22,0,92,24532.61764927439,1.9656699889258027,0.0,0,0.1061277224067921,3.096160944998154,5.606312292358805,0,0,0,89.22572905131044,0,behavior_clone_8198,False,1:0.7
27,1101,15000.909414136611,28,12,0,94,22961.52395009491,2.8869858570131046,0.0,0,0.0973141300116777,2.3485143376151547,4.356429220189439,0,0,0,90.31075645517063,0,behavior_clone_8198,False,1:0.7
28,1160,16568.016483710086,28,15,0,94,81240.70254305245,2.655172413793104,0.0,0,0.0862068965517241,2.5172413793103448,4.348275862068965,0,0,0,90.39310344827588,0,behavior_clone_8198,False,1:0.7
29,1053,13834.023696141525,28,16,0,94,32930.33024155913,2.101139601139601,0.0,0,0.0949667616334283,3.2565685343463127,5.887939221272556,0,0,0,88.65938588160812,0,behavior_clone_8198,False,1:0.7
30,1003,13022.00282353057,28,18,0,94,28230.104162959116,2.2659294842744497,0.0,0,0.0997008973080757,4.36418018671259,6.095350312698268,0,0,0,87.1748391190066,0,behavior_clone_8198,False,1:0.7
31,1443,22840.357928573267,28,23,0,98,2893.9650411192797,1.6142839672251437,0.0,0,0.1875178345766581,2.4295789001671357,4.284374872610168,0,0,0,91.48424442542093,0,behavior_clone_8198,False,1:0.7
32,1313,20345.44746807082,28,11,0,94,42716.036304773756,2.791711531895896,0.0,0,0.0761614623000761,2.426661764319668,4.335950836462955,0,0,0,90.3695144050214,0,behavior_clone_8198,False,1:0.7
33,1434,22270.76555262089,28,18,0,96,22599.923430397364,1.3661721820717636,0.0,0,0.0697350069735007,2.916191200710029,5.008241409915049,0,0,0,90.63966020032966,0,behavior_clone_8198,False,1:0.7
34,1335,20035.6633184215,28,20,0,96,82083.14423215992,2.550561797752809,0.0,0,0.149812734082397,2.5842696629213484,4.722846441947565,0,0,0,89.9925093632959,0,behavior_clone_8198,False,1:0.7
35,1115,15274.097675095623,28,16,0,98,68946.74471279726,3.097907324364724,0.0,0,0.0896860986547085,3.04185351270553,4.742152466367713,0,0,0,89.02840059790732,0,behavior_clone_8198,False,1:0.7
36,1103,14731.77686359242,28,20,0,96,33251.304952040555,3.621940163191296,0.0,0,0.0951949229374433,2.583862194016319,4.814143245693562,0,0,0,88.88485947416137,0,behavior_clone_8198,False,1:0.7
37,1242,18120.0035033784,28,14,0,96,97390.01039652,1.3594698377307073,0.0,0,0.0805152979066022,3.616994921342748,6.051034311903878,0,0,0,88.89198563111609,0,behavior_clone_8198,False,1:0.7
38,1238,17774.270984619172,28,15,0,94,74275.88717748821,1.5541195476575125,0.0,0,0.0807754442649435,2.901453957996769,5.844911147011308,0,0,0,89.61873990306948,0,behavior_clone_8198,False,1:0.7
39,1036,13783.592174429596,28,15,0,96,44546.53402300121,2.776061776061776,0.0,0,0.0965250965250965,3.4324324324324325,6.0038610038610045,0,0,0,87.6911196911197,0,behavior_clone_8198,False,1:0.7
40,1201,17022.184537971523,28,20,0,98,-3585.386742214563,3.3055786844296424,0.0,0,0.154038301415487,3.7843463780183177,4.850124895920065,0,0,0,87.90591174021648,0,behavior_clone_8198,False,1:0.7
41,1457,22920.242140426355,28,21,0,94,95165.86235606244,0.953653866994184,0.0,0,0.0686341798215511,3.312502257703284,6.700863345735649,0,0,0,88.96434634974536,0,behavior_clone_8198,False,1:0.7
42,1181,16511.614387086964,28,21,0,92,20901.433304167484,1.617719149694728,0.0,0,0.0846740050804403,3.8370693881189,8.538704933374927,0,0,0,85.921832523731,0,behavior_clone_8198,False,1:0.7
43,1171,16292.908623910313,28,17,0,94,17879.919745737305,1.889874874689043,0.0,0,0.1299521033676159,3.30449634277652,5.361452493223927,0,0,0,89.31422418594289,0,behavior_clone_8198,False,1:0.7
44,1270,19075.63562710988,28,21,0,98,66589.37628055325,1.583091587235806,0.0,0,0.078740157480315,3.493576460837132,5.093244923331953,0,0,0,89.75134687111479,0,behavior_clone_8198,False,1:0.7
45,1109,14923.126739022957,28,23,0,94,93042.8178337442,1.951943987694266,0.0,0,0.0901713255184851,3.511377499602186,5.166286532647323,0,0,0,89.28022065453774,0,behavior_clone_8198,False,1:0.7
46,1045,13636.899763282763,28,13,0,94,79630.2984275334,1.4992025518341308,0.0,0,0.102782208045366,3.2287790182527023,5.801878433457381,0,0,0,89.36735778841043,0,behavior_clone_8198,False,1:0.7
47,1081,14073.48904548546,28,20,0,98,59282.18903363358,3.723404255319149,0.0,0,0.1063829787234042,3.612395929694727,6.817761332099907,0,0,0,85.74005550416281,0,behavior_clone_8198,False,1:0.7
48,1146,15728.183521585232,28,25,0,94,55649.13593341728,1.1285631180919138,0.0,0,0.0872600349040139,2.821407795229785,5.369400814426992,0,0,0,90.59336823734728,0,behavior_clone_8198,False,1:0.7
49,1097,15233.53112316684,28,16,0,98,67111.44238962757,0.62291096931024,0.0,0,0.0911577028258887,3.828623518687329,5.640382862351868,0,0,0,89.81692494682467,0,behavior_clone_8198,False,1:0.7
50,1093,14904.197683608018,28,19,0,98,61135.1843789617,2.322136539885854,0.0,0,0.1176316821330545,2.9102949505511257,5.258571864244326,0,0,0,89.39136496318565,0,behavior_clone_8198,False,1:0.7
51,1226,17726.89571368885,28,20,0,92,52629.63549649804,1.9412724306688416,0.0,0,0.130505709624796,3.050570962479609,5.436378466557912,0,0,0,89.44127243066886,0,behavior_clone_8198,False,1:0.7
52,1238,17973.497988529223,28,17,0,96,53891.683099143804,1.8016436046919997,0.0,0,0.0807754442649434,3.873709348879679,6.834304979981736,0,0,0,87.40956662218166,0,behavior_clone_8198,False,1:0.7
