episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
28,1178,24492.81218655414,40,18,0,98,11272.952828672742,5.534804753820033,0.0,0,1.222410865874363,2.1901528013582343,4.100169779286928,0,0,0,86.95246179966044,0,behavior_clone_32768,False,0.7:1
29,1255,26183.71039427162,40,22,0,100,9179.610485295598,10.50464807436919,0.0,0,5.962815405046481,2.00531208499336,3.3067729083665336,0,0,0,78.22045152722444,0,behavior_clone_32768,False,0.7:1
30,1971,43326.50400206326,40,26,4,92,3796.3738740220383,6.747843734145103,27.879249112125823,0,7.026889903602232,0.2536783358701167,1.0908168442415016,0,0,0,57.00152207001522,0,behavior_clone_32768,False,0.7:1
31,1501,32045.571197301004,40,24,1,98,7430.031520071194,12.60826115922718,0.4497001998667554,0,8.277814790139907,1.948700866089274,3.1479013990672886,0,0,0,73.5676215856096,0,behavior_clone_32768,False,0.7:1
32,1894,42207.18860120574,40,25,3,92,5953.052789390174,15.205913410770854,12.63639563533967,0,6.195001759943681,0.7919746568109821,0.985568461809222,0,0,0,64.18514607532559,0,behavior_clone_32768,False,0.7:1
33,1800,24475.685900915185,40,26,10,80,3371.457687276529,13.416666666666666,43.138888888888886,0,8.25,0.2222222222222222,0.8055555555555556,0,0,0,34.16666666666667,0,behavior_clone_32768,False,0.7:1
34,1657,31427.51481119276,40,26,4,92,4189.101313698114,14.544357272178637,29.662039831019914,0,9.324079662039832,0.995775497887749,2.504526252263126,0,0,0,42.96922148461074,0,behavior_clone_32768,False,0.7:1
35,1421,32152.342332603537,40,21,0,100,10574.058997595515,9.40987232331356,0.0,0,5.09701417512818,0.9550618276867396,2.332361516034985,0,0,0,82.20569015783654,0,behavior_clone_32768,False,0.7:1
36,1808,26705.04567335468,40,26,9,82,3574.54563909618,6.996681415929205,40.8462389380531,0,9.292035398230087,0.2488938053097345,0.8573008849557522,0,0,0,41.758849557522126,0,behavior_clone_32768,False,0.7:1
37,1676,26657.69525012584,40,25,6,88,4561.484260649239,8.910103420843278,6.085918854415274,0,5.767700875099443,1.3922036595067622,2.068416865552904,0,0,0,75.77565632458234,0,behavior_clone_32768,False,0.7:1
38,1637,34567.78915349663,40,24,2,94,6623.272030909091,5.757483200977397,0.0,0,1.5729993891264509,0.6566890653634696,2.73365913255956,0,0,0,89.27916921197311,0,behavior_clone_32768,False,0.7:1
39,2199,54537.28736598046,40,26,2,94,3775.4909722883413,6.070941336971351,24.170077307867214,0,8.61755343337881,0.7048658481127785,1.0914051841746248,0,0,0,59.34515688949522,0,behavior_clone_32768,False,0.7:1
40,1710,39863.53815224894,40,23,1,98,6591.647902517304,8.818713450292396,0.0,0,5.12280701754386,0.7368421052631579,1.4970760233918128,0,0,0,83.82456140350878,0,behavior_clone_32768,False,0.7:1
41,1795,29249.847788276664,40,26,8,84,4119.354004580354,15.84958217270195,42.47910863509749,0,8.272980501392757,0.0835654596100278,0.5571030640668524,0,0,0,32.75766016713092,0,behavior_clone_32768,False,0.7:1
42,1858,41941.08245276296,40,23,2,96,8306.494215526605,13.659849300322929,0.0,0,7.06135629709365,0.3982777179763186,0.7642626480086113,0,0,0,78.11625403659849,0,behavior_clone_32768,False,0.7:1
