episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
17,1235,25916.377597656417,40,29,1,96,12947.10539518906,4.784688995215311,0.0,0,0.7434670592565329,2.6205373573794626,5.211630474788369,0,0,0,86.63967611336032,behavior_clone_32768,False,1:1
18,1052,20894.650338258296,40,33,0,100,9034.022382262474,11.162411732753938,0.0,0,4.712112982074959,2.3085279739272133,3.259098316132537,0,0,0,78.55784899511136,behavior_clone_32768,False,1:1
19,1202,27236.55978001105,40,21,0,100,18852.116231479195,5.179963219196077,0.0,0,0.2758560294246431,2.789210964182503,4.545056484806024,0,0,0,87.20991330239076,behavior_clone_32768,False,1:1
20,1117,23800.246832221903,40,22,0,100,18667.62222570247,4.89903511389635,0.0,0,0.462548492987168,3.0936038993335324,4.759773202029244,0,0,0,86.78503929175372,behavior_clone_32768,False,1:1
21,1078,22464.683421520407,40,29,0,100,12489.747683537744,4.44425704165964,0.0,0,0.9192106594703996,3.685275763197841,5.759824590993422,0,0,0,85.1914319446787,behavior_clone_32768,False,1:1
22,876,15640.254809289812,40,20,0,98,18984.08775289729,11.70662100456621,0.0,0,0.8847031963470318,3.162100456621004,5.313926940639271,0,0,0,78.93264840182648,behavior_clone_32768,False,1:1
23,1174,25642.539912954147,40,26,0,100,16278.95301270596,3.528839133609151,0.0,0,0.3285470917498174,3.005597468970553,5.640058408371868,0,0,0,87.49695789729861,behavior_clone_32768,False,1:1
24,970,19126.87007830397,40,25,0,100,14625.980447488952,9.869415807560138,0.0,0,1.8075601374570445,3.532646048109965,5.896907216494846,0,0,0,78.89347079037799,behavior_clone_32768,False,1:1
25,1105,22595.42361843167,40,27,0,98,14930.946243457056,3.745214061956144,0.0,0,0.5986773407587888,2.603550295857988,6.153846153846153,0,0,0,86.89871214758094,behavior_clone_32768,False,1:1
26,1124,24111.08107729658,40,22,0,100,17376.1845722528,3.781138790035588,0.0,0,0.4843811783313563,2.5553578489521547,5.886714116251482,0,0,0,87.29240806642942,behavior_clone_32768,False,1:1
27,1101,24071.97120876612,40,23,0,100,16921.378662102892,6.208259870705775,0.0,0,0.956349842389272,2.4469733397446176,4.044451568093177,0,0,0,86.34396537906716,behavior_clone_32768,False,1:1
28,1071,21798.67402613128,40,26,0,100,14385.547578592725,3.1279178338001867,0.0,0,0.1133786848072562,3.3013205282112845,5.895691609977324,0,0,0,87.56169134320393,behavior_clone_32768,False,1:1
29,1176,25562.066763352173,40,31,0,100,10894.768998184678,9.769463340891912,0.0,0,2.418745275888133,1.7479213907785338,5.253212396069539,0,0,0,80.81065759637188,behavior_clone_32768,False,1:1
30,1268,28297.38766114443,40,30,0,100,9285.744108933184,5.283911671924289,0.0,0,0.5441640378548896,2.050473186119873,3.824921135646687,0,0,0,88.29652996845427,behavior_clone_32768,False,1:1
31,1425,29792.836329532674,40,27,2,96,16605.99165941422,8.960863697705804,0.0,0,1.0094466936572202,1.408906882591093,3.6815114709851535,0,0,0,84.93927125506073,behavior_clone_32768,False,1:1
32,1000,20219.266088510176,40,22,0,98,18076.84804862592,3.338888888888889,0.0,0,0.561111111111111,4.111111111111112,7.544444444444443,0,0,0,84.44444444444443,behavior_clone_32768,False,1:1
33,1274,26672.422674272457,40,34,1,96,7369.412495991832,8.019361590790162,0.0,0,3.205128205128205,2.001569858712716,2.053898482469911,0,0,0,84.72004186289901,behavior_clone_32768,False,1:1
34,1203,26732.265017035945,40,24,0,100,16100.456168819328,5.226517040731505,0.0,0,0.9507481296758106,1.8339567747298424,3.340606816292602,0,0,0,88.64817123857023,behavior_clone_32768,False,1:1
35,1021,20354.23044783692,40,29,0,100,11536.492257634272,1.0150476360074792,0.0534235597898673,0,0.1691746060012465,3.3389724868667083,8.50324993322055,0,0,0,86.92013177811415,behavior_clone_32768,False,1:1
36,1213,27137.68935640494,40,24,0,100,19074.77924509384,5.502885408079143,0.0,0,0.7265045342126958,2.7669002473206925,5.580173124484748,0,0,0,85.42353668590273,behavior_clone_32768,False,1:1
