episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
121,2926,74603.07690291284,40,26,2,90,30671.359945391272,2.460697197539303,27.22146274777854,0,4.699248120300752,0.7347915242652084,0.1025290498974709,0,0,0,64.78127136021874,behavior_clone_8198,True,0.7:1
122,2884,76660.29345032069,40,23,1,96,38593.68063439385,2.482662968099861,0.0208044382801664,0,2.25381414701803,0.8113730929264908,1.740638002773925,0,0,0,92.69070735090152,behavior_clone_8198,True,0.7:1
123,3398,87526.23891423614,40,24,3,90,44149.98150060643,0.7430841671571513,0.0,0,0.9932313125367862,0.4046497939964685,0.0662154208357857,0,0,0,97.7928193054738,behavior_clone_8198,True,0.7:1
124,2504,64862.40554347276,40,18,1,94,56766.22046033678,5.55111821086262,0.0,0,1.641373801916933,0.5391373801916932,1.4137380191693292,0,0,0,90.8546325878594,behavior_clone_8198,True,0.7:1
125,2880,75439.2800673833,40,23,2,88,15013.426436208461,3.125,0.0,0,1.7916666666666663,0.2777777777777777,0.1111111111111111,0,0,0,94.69444444444444,behavior_clone_8198,True,0.7:1
126,2374,60510.02258407589,40,20,1,94,7428.12106673494,2.9907329401853406,0.0,0,1.237363100252738,0.9582982308340352,1.174178601516428,0,0,0,93.63942712721143,behavior_clone_8198,True,0.7:1
127,3394,88239.15346511453,40,25,2,94,60912.803232718965,2.769593400117855,0.0,0,1.934786878805736,0.3044588489491259,0.5107051659791789,0,0,0,94.4804557061481,behavior_clone_8198,True,0.7:1
128,3420,78615.27115743466,40,26,7,80,39303.89105882262,7.16374269005848,61.52046783625731,0,4.7953216374269,0.4824561403508772,0.7163742690058479,0,0,0,25.321637426900587,behavior_clone_8198,True,0.7:1
129,2859,79097.60159361278,40,21,0,96,22943.355703832214,2.5583370808974166,0.0,0,1.3091490531154748,0.5196622195572878,0.8694348673362313,0,0,0,94.7434167790936,behavior_clone_8198,True,0.7:1
130,2402,60631.76455721825,40,19,0,92,73288.19340208825,2.419280229438431,0.0,0,0.744749745582385,1.2998427236562125,2.0492182440558797,0,0,0,93.4869090572671,behavior_clone_8198,True,0.7:1
131,2907,76792.46357355341,40,23,1,94,38293.5548559017,3.2817337461300307,0.0068799449604403,0,2.8964568283453733,0.5985552115583075,0.4678362573099415,0,0,0,92.7485380116959,behavior_clone_8198,True,0.7:1
132,2856,74880.27724620537,40,21,1,96,62928.46392240407,4.496798719487796,0.0,0,2.300920368147259,0.2250900360144057,0.6002400960384153,0,0,0,92.37695078031211,behavior_clone_8198,True,0.7:1
