episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
10,2415,57488.1945991887,40,22,3,94,8210.557621962886,2.3050379572118698,0,0,1.518288474810214,0.7039337474120082,0.6004140786749482,0,0,0,94.87232574189096
11,3420,85412.02927622832,40,26,5,90,2466.372810408336,2.2076023391812862,49.473684210526315,0,2.1345029239766085,0.5409356725146198,0.9941520467836258,0,0,0,44.64912280701755
12,2924,78588.51457457917,40,23,1,98,7626.306017001969,3.789329685362517,0,0,1.6142270861833106,0.2325581395348837,0.3419972640218878,0,0,0,94.0218878248974
13,2315,59330.57460673076,40,18,1,98,11614.024992268643,6.11231101511879,0,0,1.8488120950323976,0.5874730021598273,1.2440604751619873,0,0,0,90.207343412527
14,5000,130114.56648638383,39,26,7,86,1844.3576276765325,2.58,82.99000000000001,0,2.51,0.01,0.16,0,0,0,11.75
15,3420,88194.63029656242,40,26,5,90,2330.1521691356998,6.0964912280701755,27.76315789473684,0,2.4707602339181287,2.8947368421052633,1.8859649122807016,0,0,0,58.888888888888886
16,3420,82484.86455521532,40,26,7,86,2078.810494323995,4.02046783625731,74.22514619883042,0,3.4502923976608186,0,0.14619883040935672,0,0,0,18.157894736842106
17,3420,80724.3593177903,40,26,8,84,1960.5559779294906,4.137426900584796,75.27777777777777,0,3.801169590643275,0.08771929824561403,0.2631578947368421,0,0,0,16.432748538011694
18,3369,91054.81924469511,40,24,1,98,4478.958019545605,2.626892252894034,0,0,1.6028495102404272,0.17809439002671418,0.12615019293558918,0,0,0,95.46601365390323
19,3420,65448.22626467659,40,26,13,74,1626.5089758846652,2.6315789473684212,75.76023391812866,0,3.435672514619883,0.29239766081871343,0,0,0,0,17.880116959064328
20,5000,128973.41743337469,39,26,6,88,2226.0567461072533,1.48,77.33,0,1.46,0.72,2.57,0,0,0,16.439999999999998
21,2396,64039.79097801325,40,19,0,100,10525.41097313031,7.702652569096643,0,0,1.6508996475607496,0.908922277870525,1.3123724726395845,0,0,0,88.42515303283251
22,2868,76491.85421335645,40,22,1,98,8074.023045176102,1.214551371455137,0,0,1.2494188749418875,0.47652254765225477,0.8310088331008834,0,0,0,96.22849837284984
23,2963,75805.08500167562,40,26,3,94,2677.389875650889,5.568680391495106,17.195410057374282,0,4.775565305433682,0.5399932500843739,0.11812352345595681,0,0,0,71.8022274721566
24,2844,70102.72029118582,40,22,2,96,8681.963538234217,4.54172526957337,0,0,2.2855133614627285,0.4043600562587904,0.5039849976558837,0,0,0,92.26441631504922
25,2905,77216.10644218257,40,23,1,98,7461.482450207565,2.7814113597246126,0,0,1.1841652323580034,0.7091222030981067,0.8743545611015491,0,0,0,94.45094664371773
26,2925,71758.42731472179,40,25,3,94,3991.41904856943,6.37037037037037,60.501424501424495,0,7.282051282051282,1.1168091168091168,1.2421652421652423,0,0,0,23.487179487179485
27,2927,71627.9280617908,40,26,3,94,3798.2450140487917,3.843525794328664,68.55141783395969,0,3.6897847625555174,0.10249402118209772,0.9566108643662452,0,0,0,22.856166723607792
28,2355,62275.34967717582,40,19,0,100,10415.701300716084,7.2517103090351505,0,0,2.642132578438311,0.6794055201698513,1.429582448690729,0,0,0,87.99716914366596
29,2891,76508.34846254639,40,21,1,98,9503.092601243734,4.526362603152641,0,0,2.579433710530217,0.18777486781637595,0.7906310223847408,0,0,0,91.91579779611602
30,2926,69524.2633805606,40,25,5,90,3420.9952863771678,5.3542948279790386,39.58760537707906,0,4.089769879243564,0.3075871496924129,0.7177033492822966,0,0,0,49.94303941672363
31,2926,75854.41284248278,40,25,1,98,3578.120359848413,2.1645021645021645,13.237639553429027,0,3.4062428799270905,0.48986101617680566,0.4898610161768057,0,0,0,80.2118933697881
32,2899,71727.67748988199,40,25,2,96,5969.735626452841,3.368977808439692,13.958836380361044,0,2.35713464413016,1.1728182131769576,1.5407611820167872,0,0,0,77.60147177187535
