episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
24,735,10682.40988406334,40,24,0,100,10017.466056799429,13.775510204081634,0.0850340136054421,0,2.100340136054422,0.7908163265306123,0.8333333333333333,0,0,0,82.41496598639455,behavior_clone_32768,True,1:1
25,724,10237.182285821673,40,25,0,100,9675.692759713149,13.69244935543278,0.1749539594843462,0,0.874769797421731,1.4917127071823204,0.8011049723756906,0,0,0,82.96500920810314,behavior_clone_32768,True,1:1
26,720,8013.633189297045,40,25,1,98,9427.527927702642,17.666666666666668,0.0,0,0.611111111111111,1.4074074074074074,1.212962962962963,0,0,0,79.10185185185185,behavior_clone_32768,True,1:1
27,792,10411.25091331396,40,29,1,98,7773.846881135742,7.598714416896235,0.0,0,1.1019283746556474,1.3888888888888888,0.7346189164370983,0,0,0,89.17584940312213,behavior_clone_32768,True,1:1
28,765,11560.1640660388,40,28,0,100,8858.07816748484,10.816993464052288,0.326797385620915,0,2.592592592592592,0.925925925925926,0.6209150326797385,0,0,0,84.71677559912854,behavior_clone_32768,True,1:1
29,890,15180.529115920805,40,36,1,98,3395.8632196384683,5.224719101123595,1.601123595505618,0,1.741573033707865,2.584269662921348,0.0,0,0,0,88.84831460674158,behavior_clone_32768,True,1:1
30,729,10569.1388998639,40,23,0,100,13091.092567764814,9.90075042362624,0.0,0,0.2017267812474784,0.6778019849915274,0.5567659162430404,0,0,0,88.66295489389171,behavior_clone_32768,True,1:1
31,807,12754.443159445156,40,31,0,98,7245.449570398983,6.567534076827757,0.2202946440864656,0,1.996420212033595,0.9913258983890956,0.0826104915324246,0,0,0,90.14181467713064,behavior_clone_32768,True,1:1
32,916,14450.121690282456,40,27,1,98,12582.640370128154,15.922069197178368,0.2855223379240846,0,3.0483708431306686,0.5542492442055761,0.0,0,0,0,80.1897883775613,behavior_clone_32768,True,1:1
33,811,13041.112664598428,40,30,0,100,7497.418270962197,6.337854500616523,0.0,0,1.9358816276202224,0.7644882860665845,0.1849568434032059,0,0,0,90.77681874229346,behavior_clone_32768,True,1:1
