episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
0,728,8152.015494514707,40,25,1,90,17586.405080278786,17.05128205128205,0.0366300366300366,0,1.6483516483516485,2.554945054945055,1.098901098901099,0,0,0,77.6098901098901,behavior_clone_8198,True,1:1
1,806,12933.332990170826,40,29,0,92,44372.16865365775,8.211143695014663,0.1353485224452966,0,2.018948793142341,1.1842995713963456,0.2368599142792691,0,0,0,88.21339950372209,behavior_clone_8198,True,1:1
2,736,10707.921917282509,40,25,0,96,42616.62060310942,13.759057971014496,0.1358695652173913,0,1.9112318840579707,0.9782608695652172,0.7789855072463767,0,0,0,82.43659420289855,behavior_clone_8198,True,1:1
3,729,10584.52439245702,40,21,0,94,49800.047210774785,15.623420691646814,0.0,0,0.5198180636777129,1.1912497292614252,0.7797270955165693,0,0,0,81.88578441989746,behavior_clone_8198,True,1:1
4,735,10521.899087659578,40,30,0,96,43113.165306272116,16.108843537414963,0.1496598639455782,0,3.346938775510204,1.1156462585034013,0.707482993197279,0,0,0,78.57142857142856,behavior_clone_8198,True,1:1
5,777,11951.542337664712,40,27,0,92,87448.09545997687,12.642312642312644,0.1089001089001089,0,2.633402633402633,1.5444015444015444,1.197901197901198,0,0,0,81.87308187308187,behavior_clone_8198,True,1:1
6,728,10409.883347185933,40,26,0,96,24760.388212456193,15.796703296703296,0.0981161695447409,0,1.3245682888540031,0.794740973312402,0.5690737833594977,0,0,0,81.41679748822607,behavior_clone_8198,True,1:1
7,971,18547.974807195274,40,27,0,94,29197.822230014954,13.079299691040164,0.1742850352531094,0,3.2876495286382,1.2437613879426446,1.0377881644616969,0,0,0,81.1772161926642,behavior_clone_8198,True,1:1
8,866,12739.116709298272,40,30,1,94,25634.94713458706,15.993071593533486,0.0346420323325635,0,4.803695150115473,3.0600461893764432,0.6351039260969976,0,0,0,75.47344110854505,behavior_clone_8198,True,1:1
9,728,10378.25566631813,40,25,0,94,27070.82315029283,16.67582417582417,0.0824175824175824,0,0.4670329670329671,0.9981684981684982,0.8333333333333334,0,0,0,80.94322344322345,behavior_clone_8198,True,1:1
10,798,12538.725274442722,40,30,0,94,24275.586030832827,13.408521303258146,0.050125313283208,0,4.849624060150376,0.8646616541353382,0.4135338345864661,0,0,0,80.41353383458646,behavior_clone_8198,True,1:1
11,894,16119.293318412152,40,25,1,94,63230.54371431238,12.184936614466816,0.0,0,0.8351976137211033,1.3348247576435497,1.126025354213274,0,0,0,84.51901565995527,behavior_clone_8198,True,1:1
12,744,10942.149182248522,40,28,0,96,66338.181763278,10.539874551971328,0.1120071684587813,0,2.2401433691756267,2.1617383512544803,1.2432795698924732,0,0,0,83.70295698924733,behavior_clone_8198,True,1:1
